Data;Volume Útil Armazenado (%);Vazão Jusante (m³/s);Vazão Natural (m³/s)
01/01/2000;47,11254;10,16;70,885
02/01/2000;47,77519;10,18;94,864
03/01/2000;48,59438;7,29;108,208
04/01/2000;49,9968;6,34;162,936
05/01/2000;51,94578;6,33;211,604
06/01/2000;52,21137;5,4;59,722
07/01/2000;55,66249;5,43;346,454
08/01/2000;56,63253;6,29;124,904
09/01/2000;57,10364;6,48;79,678
10/01/2000;57,29694;6,47;53,797
11/01/2000;57,45505;6,47;53,712
12/01/2000;57,3889;6,46;33,624
13/01/2000;57,46437;6,46;46,279
14/01/2000;57,67839;6,48;58,759
15/01/2000;57,77345;6,49;48,334
16/01/2000;57,77228;6,49;39,077
17/01/2000;57,74694;6,5;32,896
18/01/2000;57,77785;6,5;42,36
19/01/2000;57,87044;6,51;33,771
20/01/2000;57,78244;6,49;30,289
21/01/2000;57,4855;6,49;12,391
22/01/2000;57,31387;6,5;24,172
23/01/2000;57,15522;6,5;24,186
24/01/2000;57,0396;6,5;26,643
25/01/2000;56,91423;6,49;28,016
26/01/2000;56,77802;6,49;27,012
27/01/2000;56,92705;6,5;51,572
28/01/2000;57,09797;6,51;54,584
29/01/2000;57,05084;6,51;35,798
30/01/2000;56,93372;6,51;28,283
31/01/2000;56,86861;6,5;32,225
01/02/2000;56,93984;6,51;45,97
02/02/2000;57,41272;6,65;81,486
03/02/2000;57,39474;6,66;37,989
04/02/2000;57,57269;6,67;55,771
05/02/2000;57,77764;6,68;58,626
06/02/2000;57,77933;6,67;37,413
07/02/2000;57,72517;6,67;32,588
08/02/2000;57,65213;6,67;32,63
09/02/2000;57,58643;6,66;32,558
10/02/2000;57,78687;6,66;56,561
11/02/2000;58,42173;6,69;95,265
12/02/2000;59,34631;5,72;121,173
13/02/2000;60,47976;6,74;138,071
14/02/2000;61,744;6,78;147,957
15/02/2000;62,31058;6,8;91,311
16/02/2000;62,69911;6,81;75,54
17/02/2000;62,90253;6,84;57,699
18/02/2000;63,8863;6,88;124,316
19/02/2000;64,42531;6,88;87,106
20/02/2000;64,46227;6,88;42,585
21/02/2000;64,64749;6,88;54,578
22/02/2000;64,72415;6,85;48,502
23/02/2000;64,79252;6,87;46,505
24/02/2000;64,81818;6,89;42,944
25/02/2000;64,95421;6,89;51,491
26/02/2000;64,98772;6,71;43,257
27/02/2000;65,02348;6,69;42,383
28/02/2000;65,07069;6,7;41,54
29/02/2000;65,19551;6,71;51,368
01/03/2000;65,27095;6,71;46,185
02/03/2000;65,30554;6,71;43,492
03/03/2000;65,43376;6,71;51,575
04/03/2000;65,49869;6,71;46,308
05/03/2000;65,5841;6,72;45,955
06/03/2000;65,63285;6,73;41,618
07/03/2000;65,47743;6,73;24,379
08/03/2000;65,64778;6,72;50,422
09/03/2000;65,83964;6,74;55,405
10/03/2000;65,94119;6,75;48,596
11/03/2000;65,96414;6,39;41,285
12/03/2000;66,04253;6,33;45,63
13/03/2000;66,24976;6,33;55,662
14/03/2000;66,24382;6,33;39,396
15/03/2000;66,16291;6,33;31,921
16/03/2000;66,1332;6,33;36,37
17/03/2000;66,17234;6,34;42,41
18/03/2000;66,17507;6,34;39,606
19/03/2000;66,21869;6,34;41,783
20/03/2000;66,23233;6,34;38,881
21/03/2000;66,21921;6,43;39,079
22/03/2000;66,31673;6,45;48,681
23/03/2000;66,50332;6,45;56,85
24/03/2000;66,57834;6,48;46,335
25/03/2000;66,51465;6,46;34,383
26/03/2000;66,45465;6,45;33,539
27/03/2000;66,50473;6,46;41,664
28/03/2000;66,50433;6,47;39,953
29/03/2000;67,10153;6,47;92,634
30/03/2000;67,0895;6,33;37,043
31/03/2000;67,87363;6,17;107,955
01/04/2000;68,17277;6,17;67,677
02/04/2000;68,44565;6,17;62,716
03/04/2000;68,67633;6,16;56,517
04/04/2000;68,78788;6,16;47,953
05/04/2000;68,70725;6,16;31,263
06/04/2000;68,62239;6,15;31,746
07/04/2000;68,4821;6,14;26,671
08/04/2000;68,36383;6,14;28,754
09/04/2000;68,34003;6,13;36,738
10/04/2000;68,31823;6,13;35,372
11/04/2000;68,24967;6,13;33,546
12/04/2000;68,13067;6,11;29,002
13/04/2000;68,07121;6,12;34,405
14/04/2000;67,9489;6,3;28,73
15/04/2000;67,73917;6,32;20,7
16/04/2000;67,65808;6,31;31,912
17/04/2000;67,50373;6,31;23,466
18/04/2000;67,27852;6,31;20,444
19/04/2000;67,05748;6,31;20,111
20/04/2000;67,01158;6,31;36,078
21/04/2000;66,72256;6,3;14,146
22/04/2000;66,64086;6,3;30,102
23/04/2000;66,49676;6,3;23,91
24/04/2000;66,39316;6,3;25,911
25/04/2000;66,19959;6,29;23,393
26/04/2000;66,04178;6,29;26,521
27/04/2000;65,80756;6,29;18,464
28/04/2000;65,63613;6,28;23,625
29/04/2000;65,41453;6,28;19,756
30/04/2000;65,20704;6,27;19,768
01/05/2000;65,08609;6,27;26,449
02/05/2000;64,94649;6,27;25,698
03/05/2000;64,72831;6,25;20,987
04/05/2000;64,42166;6,25;12,704
05/05/2000;64,15275;8,53;18,179
06/05/2000;63,95118;9,29;24,485
07/05/2000;63,78354;9,3;26,272
08/05/2000;63,58403;9,3;21,453
09/05/2000;63,38646;9,3;23,46
10/05/2000;63,18656;9,3;23,35
11/05/2000;62,9392;9,29;19,053
12/05/2000;62,68296;9,3;18,34
13/05/2000;62,39809;7,78;15,342
14/05/2000;62,24506;6,27;24,009
15/05/2000;62,05786;6,03;19,429
16/05/2000;61,86478;6,03;23,186
17/05/2000;61,6652;5,79;21,818
18/05/2000;61,46961;6,27;19,608
19/05/2000;61,20231;6,26;17,26
20/05/2000;61,01141;6,25;21,039
21/05/2000;60,81731;6,25;19,225
22/05/2000;60,64675;6,25;20,436
23/05/2000;60,42325;6,25;19,246
24/05/2000;60,22459;6,25;19,989
25/05/2000;60,0077;6,25;19,604
26/05/2000;59,76734;6,25;17,645
27/05/2000;59,52277;6,25;17,354
28/05/2000;59,31399;6,25;18,156
29/05/2000;59,10341;6,25;17,328
30/05/2000;58,85777;6,25;16,995
31/05/2000;58,62001;6,25;17,212
01/06/2000;58,38161;6,25;16,744
02/06/2000;58,14028;6,26;14,858
03/06/2000;57,91576;6,26;17,652
04/06/2000;57,67909;6,26;16,788
05/06/2000;57,431;7,19;15,343
06/06/2000;57,2439;6,25;21,223
07/06/2000;56,94462;6,25;11,682
08/06/2000;56,75324;6,24;21,199
09/06/2000;56,46836;6,24;13,312
10/06/2000;56,26312;6,24;20,238
11/06/2000;56,05402;6,24;19,535
12/06/2000;55,87094;6,24;20,779
13/06/2000;55,62318;6,23;17,475
14/06/2000;55,37669;6,23;17,495
15/06/2000;55,11822;6,23;16,146
16/06/2000;54,85414;6,22;14,9
17/06/2000;54,62167;6,21;18,819
18/06/2000;54,40981;6,19;19,19
19/06/2000;54,22341;6,18;19,372
20/06/2000;54,00667;6,17;19,077
21/06/2000;53,82925;6,21;21,585
22/06/2000;53,66782;6,14;22,177
23/06/2000;53,61252;6,13;17,958
24/06/2000;53,37184;6,12;14,41
25/06/2000;53,1926;6,12;19,902
26/06/2000;52,97207;6,11;15,293
27/06/2000;52,74057;6,1;17,224
28/06/2000;52,44788;6,08;10,716
29/06/2000;52,19551;6,07;15,443
30/06/2000;51,93812;6,05;14,054
01/07/2000;51,6981;6,03;15,029
02/07/2000;51,46813;5,13;15,171
03/07/2000;51,21696;5,98;11,622
04/07/2000;50,95773;5,97;13,514
05/07/2000;50,72201;5,98;14,989
06/07/2000;50,50166;5,99;17,426
07/07/2000;50,2373;6,01;13,141
08/07/2000;49,97548;6,0;14,534
09/07/2000;49,66467;5,97;9,314
10/07/2000;49,37359;5,97;10,558
11/07/2000;49,1441;6,31;19,192
12/07/2000;48,94203;6,4;20,594
13/07/2000;48,70523;6,4;17,008
14/07/2000;48,48815;6,42;18,418
15/07/2000;48,26285;6,43;17,732
16/07/2000;48,28085;6,44;36,975
17/07/2000;48,24074;6,46;31,853
18/07/2000;48,09659;6,48;25,494
19/07/2000;47,857;6,49;16,161
20/07/2000;47,66606;6,5;20,04
21/07/2000;47,43874;6,5;17,654
22/07/2000;47,21075;6,51;18,725
23/07/2000;47,04216;6,52;22,555
24/07/2000;46,99711;6,53;29,131
25/07/2000;46,93998;6,55;33,269
26/07/2000;46,79182;6,57;25,025
27/07/2000;46,63243;6,58;22,861
28/07/2000;46,44155;6,58;21,058
29/07/2000;46,22914;6,59;20,498
30/07/2000;46,03974;6,59;21,52
31/07/2000;45,84566;6,61;18,809
01/08/2000;45,56834;6,6;14,074
02/08/2000;45,30148;6,6;15,043
03/08/2000;45,00259;6,61;12,469
04/08/2000;44,70772;5,8;11,653
05/08/2000;44,49496;6,36;18,739
06/08/2000;44,19764;6,63;12,1
07/08/2000;44,03064;6,63;23,063
08/08/2000;43,75569;6,64;16,442
09/08/2000;43,48887;6,76;17,334
10/08/2000;43,22393;6,74;16,666
11/08/2000;42,94606;6,71;12,207
12/08/2000;42,68132;6,65;14,657
13/08/2000;42,42416;6,66;14,533
14/08/2000;42,17527;6,66;14,369
15/08/2000;41,93994;6,67;19,139
16/08/2000;41,74297;6,67;22,551
17/08/2000;41,55311;6,68;21,462
18/08/2000;41,35608;6,68;22,198
19/08/2000;41,11189;6,69;17,637
20/08/2000;40,90615;6,69;20,253
21/08/2000;40,6716;6,69;16,511
22/08/2000;40,3973;6,67;14,866
23/08/2000;40,08707;6,68;11,662
24/08/2000;39,79162;6,67;13,369
25/08/2000;39,49936;6,67;14,02
26/08/2000;39,20023;6,67;13,642
27/08/2000;38,95041;6,67;17,68
28/08/2000;38,89493;6,68;32,01
29/08/2000;39,29132;6,7;72,939
30/08/2000;39,19226;6,71;29,38
31/08/2000;38,99285;6,71;20,976
01/09/2000;38,82667;6,72;23,661
02/09/2000;39,13574;6,73;66,493
03/09/2000;39,2894;6,72;51,275
04/09/2000;39,35333;6,72;41,781
05/09/2000;39,14389;6,72;21,019
06/09/2000;39,14389;6,72;39,72
07/09/2000;38,77977;6,73;8,028
08/09/2000;38,70416;6,73;32,429
09/09/2000;38,56974;6,73;28,071
10/09/2000;38,3016;6,73;15,013
11/09/2000;38,02661;6,73;14,466
12/09/2000;37,77713;6,45;18,219
13/09/2000;37,75828;6,1;36,258
14/09/2000;38,12237;6,33;71,743
15/09/2000;38,50614;6,38;74,67
16/09/2000;38,58551;6,4;47,169
17/09/2000;38,44948;6,4;25,378
18/09/2000;38,2502;6,4;16,306
19/09/2000;38,10498;6,4;26,789
20/09/2000;38,01295;6,4;31,826
21/09/2000;37,8338;6,4;23,19
22/09/2000;37,64743;6,4;23,796
23/09/2000;37,42175;6,4;18,045
24/09/2000;37,19453;6,4;18,07
25/09/2000;36,96112;6,4;16,538
26/09/2000;36,73759;6,4;17,073
27/09/2000;36,47248;6,4;13,808
28/09/2000;36,21305;6,39;15,456
29/09/2000;35,89903;6,39;11,36
30/09/2000;35,5702;6,39;10,215
01/10/2000;35,30504;6,38;15,364
02/10/2000;35,08173;6,37;17,317
03/10/2000;34,82665;6,36;17,968
04/10/2000;34,54152;6,35;15,271
05/10/2000;34,43652;6,34;30,579
06/10/2000;34,33826;6,33;29,968
07/10/2000;34,17445;6,33;23,859
08/10/2000;33,9394;6,32;17,579
09/10/2000;33,71809;6,32;17,017
10/10/2000;33,45319;6,31;15,881
11/10/2000;33,25261;6,31;21,856
12/10/2000;33,03582;6,31;20,227
13/10/2000;32,77054;6,32;14,392
14/10/2000;32,54298;6,31;18,94
15/10/2000;32,27718;6,3;14,127
16/10/2000;31,98695;6,3;10,0
17/10/2000;31,66758;6,31;11,751
18/10/2000;31,35946;6,3;12,383
19/10/2000;31,0498;6,3;12,508
20/10/2000;30,72488;6,29;11,206
21/10/2000;30,44463;6,28;14,493
22/10/2000;30,20425;6,27;16,206
23/10/2000;29,91163;6,27;10,536
24/10/2000;29,55957;6,26;8,645
25/10/2000;29,24254;5,15;9,22
26/10/2000;29,01242;5,14;16,796
27/10/2000;28,80199;5,13;18,898
28/10/2000;28,52897;6,26;16,025
29/10/2000;28,25002;6,78;14,142
30/10/2000;27,983;6,23;11,972
31/10/2000;27,67448;6,23;12,45
01/11/2000;27,31956;6,2;8,455
02/11/2000;26,99564;6,19;11,098
03/11/2000;26,63058;6,18;7,078
04/11/2000;26,36032;6,17;15,677
05/11/2000;26,07217;6,16;11,608
06/11/2000;25,82432;6,15;14,713
07/11/2000;25,56418;6,15;16,122
08/11/2000;25,25174;6,15;10,722
09/11/2000;24,94082;6,3;11,507
10/11/2000;24,66483;6,31;15,404
11/11/2000;24,60529;6,31;35,486
12/11/2000;24,3905;6,3;20,124
13/11/2000;24,1596;6,3;15,932
14/11/2000;23,97563;6,3;22,843
15/11/2000;24,13334;6,32;51,247
16/11/2000;23,95433;6,32;21,962
17/11/2000;23,64944;6,31;11,804
18/11/2000;23,51472;6,31;27,213
19/11/2000;24,65952;4,85;133,066
20/11/2000;24,96024;4,29;60,579
21/11/2000;25,00168;5,04;41,804
22/11/2000;25,60589;5,3;90,555
23/11/2000;25,88305;5,32;62,456
24/11/2000;25,91612;5,32;40,186
25/11/2000;25,98258;5,33;43,921
26/11/2000;26,05437;5,34;42,102
27/11/2000;26,15402;5,34;43,025
28/11/2000;26,38784;5,33;58,481
29/11/2000;26,31907;5,32;31,36
30/11/2000;26,32821;5,32;38,798
01/12/2000;26,4072;5,33;45,119
02/12/2000;26,38308;5,32;35,402
03/12/2000;26,26751;5,32;27,22
04/12/2000;26,16892;5,32;28,067
05/12/2000;26,31038;5,32;51,044
06/12/2000;26,32372;5,32;38,271
07/12/2000;26,23104;5,32;28,366
08/12/2000;26,04394;5,32;21,731
09/12/2000;25,83518;5,31;20,332
10/12/2000;25,67924;5,31;24,691
11/12/2000;25,60911;5,32;29,024
12/12/2000;25,36023;5,32;15,437
13/12/2000;25,20358;5,32;24,485
14/12/2000;25,14844;5,31;33,295
15/12/2000;24,99165;5,31;24,148
16/12/2000;24,74617;5,3;16,901
17/12/2000;25,37187;4,97;92,631
18/12/2000;26,59971;4,34;141,195
19/12/2000;27,21519;4,33;90,007
20/12/2000;27,60022;5,13;71,161
21/12/2000;27,60961;5,35;39,479
22/12/2000;27,54779;5,35;32,55
23/12/2000;27,51674;5,35;35,686
24/12/2000;27,50433;5,35;36,584
25/12/2000;27,94781;5,36;75,465
26/12/2000;29,05417;5,37;133,331
27/12/2000;30,12434;4,48;133,58
28/12/2000;30,53054;4,88;74,788
29/12/2000;30,97256;5,39;77,342
30/12/2000;31,05738;5,38;44,112
31/12/2000;31,87898;5,39;106,042
