Código do Reservatório,Reservatório,Cota (m),Volume Útil (hm³),Volume Útil (%),Afluência (m³/s),Defluência (m³/s),Data da Medição
29002,CACHOEIRA,815.78,24.44,34.64,4.66,5.96,2000-01-01
29002,CACHOEIRA,815.77,24.37,34.54,3.69,5.96,2000-01-02
29002,CACHOEIRA,815.94,25.51,36.16,11.98,3.07,2000-01-03
29002,CACHOEIRA,816.14,26.87,38.08,15.4,2.12,2000-01-04
29002,CACHOEIRA,816.43,28.86,40.9,23.03,2.12,2000-01-05
29002,CACHOEIRA,816.72,30.87,43.76,24.82,2.19,2000-01-06
29002,CACHOEIRA,816.89,32.07,45.45,14.95,2.22,2000-01-07
29002,CACHOEIRA,817.08,33.41,47.36,16.44,2.25,2000-01-08
29002,CACHOEIRA,817.2,34.27,48.57,9.99,2.27,2000-01-09
29002,CACHOEIRA,817.16,33.98,48.17,9.76,2.27,2000-01-10
29002,CACHOEIRA,817.12,33.7,47.76,4.97,2.27,2000-01-11
29002,CACHOEIRA,817.14,33.84,47.97,2.61,2.26,2000-01-12
29002,CACHOEIRA,817.18,34.13,48.37,3.97,2.26,2000-01-13
29002,CACHOEIRA,817.22,34.41,48.78,3.58,2.27,2000-01-14
29002,CACHOEIRA,817.26,34.7,49.18,3.6,2.28,2000-01-15
29002,CACHOEIRA,817.3,34.99,49.59,3.71,2.28,2000-01-16
29002,CACHOEIRA,817.31,35.06,49.69,1.32,2.29,2000-01-17
29002,CACHOEIRA,817.33,35.2,49.9,2.36,2.29,2000-01-18
29002,CACHOEIRA,817.34,35.28,50.0,2.32,2.29,2000-01-19
29002,CACHOEIRA,817.36,35.42,50.2,1.66,2.29,2000-01-20
29002,CACHOEIRA,817.38,35.56,50.41,2.36,2.29,2000-01-21
29002,CACHOEIRA,817.38,35.56,50.41,1.2,2.3,2000-01-22
29002,CACHOEIRA,817.38,35.56,50.41,1.7,2.3,2000-01-23
29002,CACHOEIRA,817.37,35.49,50.31,1.36,2.3,2000-01-24
29002,CACHOEIRA,817.35,35.35,50.1,1.22,2.29,2000-01-25
29002,CACHOEIRA,817.33,35.2,49.9,1.03,2.29,2000-01-26
29002,CACHOEIRA,817.39,35.64,50.51,7.7,2.29,2000-01-27
29002,CACHOEIRA,817.43,35.93,50.92,6.05,2.3,2000-01-28
29002,CACHOEIRA,817.43,35.93,50.92,2.8,2.3,2000-01-29
29002,CACHOEIRA,817.42,35.85,50.82,2.26,2.3,2000-01-30
29002,CACHOEIRA,817.4,35.71,50.61,1.53,2.3,2000-01-31
29002,CACHOEIRA,817.4,35.71,50.61,3.3,2.3,2000-02-01
29002,CACHOEIRA,817.4,35.71,50.61,3.3,2.3,2000-02-01
29002,CACHOEIRA,817.55,36.8,52.15,11.2,2.31,2000-02-02
29002,CACHOEIRA,817.57,36.94,52.36,5.81,2.32,2000-02-03
29002,CACHOEIRA,817.57,36.94,52.36,1.82,2.32,2000-02-04
29002,CACHOEIRA,817.58,37.02,52.46,3.56,2.32,2000-02-05
29002,CACHOEIRA,817.58,37.02,52.46,2.62,2.32,2000-02-06
29002,CACHOEIRA,817.57,36.94,52.36,1.98,2.32,2000-02-07
29002,CACHOEIRA,817.54,36.72,52.05,2.49,2.32,2000-02-08
29002,CACHOEIRA,817.52,36.58,51.85,1.43,2.31,2000-02-09
29002,CACHOEIRA,817.56,36.87,52.26,6.58,2.31,2000-02-10
29002,CACHOEIRA,817.67,37.67,53.4,14.81,2.32,2000-02-11
29002,CACHOEIRA,817.66,37.6,53.29,13.88,2.33,2000-02-12
