Data;Chuva (mm);Volume Útil Armazenado (%);Volume Útil Armazenado (hm³);Volume Total Armazenado (hm³);Vazão Captada (m³/s);Vazão Produzida (m³/s);Vazão Jusante (m³/s);Vazão Natural (m³/s);Vazão Afluente (m³/s);Variação do Volume Útil (%);Chuva Acumulada no Mês (mm);Chuva Média Historica (mm);Vazão Jusante no mês (m³/s);Vazão Jusante Média Histórica (m³/s);Vazão Natural no Mês (m³/s);Vazão Natural Media Historica (m³/s);Vazão Produzida no Mês (m³/s);Vazão Retirada no Mês (m³/s)
01/01/2000;30,9;47,11254;365,50555;1072,05098;29,0;;10,16;70,885;70,885;0,32635;30,9;261,51618;10,16;22,55533;70,885;;;29,0
02/01/2000;29,1;47,77519;370,64646;1077,1919;28,8;;10,18;94,864;94,864;0,66265;60,0;261,51618;10,17;22,55533;82,875;;;28,9
03/01/2000;35,175;48,59438;377,00187;1083,5473;33,3;;7,29;108,208;108,208;0,81919;95,175;261,51618;9,21;22,55533;91,319;;;30,36667
04/01/2000;18,725;49,9968;387,88206;1094,42749;32,4;;6,34;162,936;162,936;1,40242;113,9;261,51618;8,4925;22,55533;109,223;;;30,875
05/01/2000;25,9;51,94578;403,00251;1109,54794;32,9;;6,33;211,604;211,604;1,94898;139,8;261,51618;8,06;22,55533;129,699;;;31,28
06/01/2000;7,825;52,21137;405,063;1111,60844;33,7;;5,4;59,722;59,722;0,26559;147,625;261,51618;7,61667;22,55533;118,037;;;31,68333
07/01/2000;21,45;55,66249;431,83726;1138,38269;33,8;;5,43;346,454;346,454;3,45112;169,075;261,51618;7,30429;22,55533;150,668;;;31,98571
08/01/2000;6,2;56,63253;439,3629;1145,90833;33,9;;6,29;124,904;124,904;0,97003;175,275;261,51618;7,1775;22,55533;147,447;;;32,225
09/01/2000;0,0;57,10364;443,01784;1149,56328;33,4;;6,48;79,678;79,678;0,47111;175,275;261,51618;7,1;22,55533;139,917;;;32,35556
10/01/2000;0,375;57,29694;444,51752;1151,06296;34,9;;6,47;53,797;53,797;0,1933;175,65;261,51618;7,037;22,55533;131,305;;;32,61
11/01/2000;0,0;57,45505;445,74418;1152,28962;34,4;;6,47;53,712;53,712;0,15811;175,65;261,51618;6,98545;22,55533;124,251;;;32,77273
12/01/2000;0,85;57,3889;445,23094;1151,77637;35,2;;6,46;33,624;33,624;-0,06616;176,5;261,51618;6,94167;22,55533;116,699;;;32,975
13/01/2000;7,275;57,46437;445,8165;1152,36193;34,4;;6,46;46,279;46,279;0,07548;183,775;261,51618;6,90462;22,55533;111,282;;;33,08462
14/01/2000;12,85;57,67839;447,47683;1154,02227;35,3;;6,48;58,759;58,759;0,21401;196,625;261,51618;6,87429;22,55533;107,53;;;33,24286
15/01/2000;0,7;57,77345;448,21431;1154,75975;33,5;;6,49;48,334;48,334;0,09506;197,325;261,51618;6,84867;22,55533;103,584;;;33,26
16/01/2000;1,45;57,77228;448,20527;1154,75071;31,1;;6,49;39,077;39,077;-0,00117;198,775;261,51618;6,82625;22,55533;99,552;;;33,125
17/01/2000;4,05;57,74694;448,00871;1154,55414;33,7;;6,5;32,896;32,896;-0,02534;202,825;261,51618;6,80706;22,55533;95,631;;;33,15882
18/01/2000;4,575;57,77785;448,24847;1154,79391;27,0;;6,5;42,36;42,36;0,03091;207,4;261,51618;6,79;22,55533;92,672;;;32,81667
19/01/2000;4,525;57,87044;448,96683;1155,51227;27,3;;6,51;33,771;33,771;0,09259;211,925;261,51618;6,77526;22,55533;89,572;;;32,52632
